date,x,y,effort,nsets,cpue,FEI
2014-04,-44.5,35.5,118.498748779297,16,1225.75,0.00612927880138159
2014-04,-31.5,35.5,56.794303894043,5,1457,0.00162785698194057
2014-04,-44.5,34.5,16.96875,6,954.833312988281,0.000435549765825272
2014-04,-32.5,33.5,48.2263870239258,5,1915.19995117188,0.00276456121355295
2014-04,-35.5,32.5,23.6630554199219,3,934,0.000678238284308463
2014-04,-32.5,32.5,142.728469848633,9,1276.33337402344,0.00409093033522367
2014-05,-51.5,40.5,200.60986328125,14,1685.28576660156,0.0229997839778662
2014-05,-50.5,39.5,16.2588882446289,2,2109,0.000909843889530748
2014-05,-45.5,39.5,190.67138671875,26,3504.26928710938,0.00512351840734482
2014-05,-45.5,38.5,125.957084655762,55,2588.56372070312,0.0101016834378242
2014-05,-46.5,37.5,146.36735534668,2,4200,0.00780554721131921
2014-05,-46.5,36.5,148.007080078125,8,1741.625,0.0039770882576704
2014-05,-45.5,36.5,158.787078857422,18,2817.38891601562,0.030017064884305
2014-05,-44.5,36.5,165.450698852539,21,1763.66662597656,0.00451638316735625
2014-05,-45.5,35.5,15.7719440460205,4,2071.25,0.000430533953476697
2014-06,-43.5,42.5,560.795837402344,18,2422.5556640625,0.00181282497942448
2014-06,-50.5,41.5,185.730972290039,12,1446.5,0.01652442663908
2014-06,-46.5,41.5,692.055297851562,44,1691.04541015625,0.00348057947121561
2014-06,-45.5,41.5,396.131652832031,14,1910.35717773438,0.00196058605797589
2014-06,-44.5,41.5,1856.65698242188,23,1879.04345703125,0.0121717974543571
2014-06,-43.5,41.5,4065.62524414062,68,1849.25,0.0339636988937855
2014-06,-42.5,41.5,1833.96301269531,24,1950.08337402344,0.0144185796380043
2014-06,-41.5,41.5,389.677764892578,9,1478.33337402344,0.00191073922906071
2014-06,-40.5,41.5,97.9027786254883,6,1123.66662597656,0.000320699618896469
2014-06,-50.5,40.5,101.218887329102,6,1801,0.00290116900578141
2014-06,-48.5,40.5,311.670013427734,25,3472.71997070312,0.00230543501675129
2014-06,-47.5,40.5,1227.55834960938,30,2579.53344726562,0.00949966348707676
2014-06,-46.5,40.5,317.140411376953,36,3092.16674804688,0.0011506307637319
2014-06,-45.5,40.5,722.578796386719,15,1848.40002441406,0.00488766236230731
2014-06,-44.5,40.5,429.887908935547,14,1813.57141113281,0.00236705830320716
2014-06,-43.5,40.5,693.379150390625,42,1654.76196289062,0.00378705258481205
2014-06,-41.5,40.5,81.2633361816406,9,2895.33325195312,0.000534947321284562
2014-06,-40.5,40.5,238.716659545898,11,1845.45458984375,0.00131757033523172
2014-06,-47.5,39.5,422.919555664062,12,1614.91662597656,0.00307625229470432
2014-06,-46.5,39.5,110.841674804688,12,2479.66674804688,0.000911239825654775
2014-06,-45.5,39.5,116.609306335449,19,2117.63159179688,0.000397892174078152
2014-06,-44.5,39.5,259.947235107422,9,2089.4443359375,0.00266909459605813
2014-06,-42.5,39.5,102.813751220703,6,1087.83337402344,0.00069135642843321
2014-06,-41.5,39.5,397.429718017578,16,1361.125,0.00265698647126555
2014-06,-40.5,39.5,143.441665649414,4,1760.5,0.000967509287875146
2014-06,-39.5,39.5,16.2297229766846,3,700,0.000110106018837541
2014-06,-41.5,38.5,82.5436096191406,13,932,0.000565560883842409
2014-06,-40.5,38.5,85.6480560302734,2,650,0.000451623782282695
2014-06,-39.5,38.5,75.2233352661133,2,965,0.000387066975235939
2014-06,-38.5,38.5,67.1262512207031,5,946,0.000481563620269299
2014-06,-43.5,37.5,97.9963912963867,2,825,0.000530417717527598
2014-06,-42.5,37.5,14.1019439697266,4,682.5,0.000157379734446295
2014-06,-39.5,37.5,48.3183326721191,10,1438.5,0.000177553331013769
2014-06,-38.5,37.5,29.1702785491943,2,1977.5,0.000106508043245412
2014-06,-43.5,36.5,29.9359722137451,5,796,0.00022143752721604
2014-06,-42.5,36.5,40.7555541992188,2,1065,0.000305809895507991
2014-06,-47.5,35.5,24.1420841217041,5,1509,9.32991024455987e-05
2014-06,-44.5,35.5,112.220558166504,7,1459.28576660156,0.000443017983343452
2014-07,-41.5,44.5,155.990966796875,21,2263.23803710938,0.00090021436335519
2014-07,-45.5,43.5,87.4695816040039,2,1432.5,0.000400066288420931
2014-07,-44.5,43.5,119.298614501953,14,1079.85717773438,0.00112265953794122
2014-07,-43.5,43.5,214.134719848633,23,2313.173828125,0.0020402621012181
2014-07,-42.5,43.5,62.9337501525879,8,1578.5,0.00319764134474099
2014-07,-41.5,43.5,18.5136108398438,2,546.5,0.000204653668333776
2014-07,-40.5,43.5,155.16569519043,21,1785.61901855469,0.00258533377200365
2014-07,-45.5,42.5,93.7656936645508,14,957.714294433594,0.00124511460307986
2014-07,-41.5,42.5,91.1281967163086,10,1032.5,0.000489739933982491
2014-07,-40.5,42.5,116.211944580078,11,854.818176269531,0.0012589527759701
2014-07,-51.5,41.5,169.176254272461,19,1610.78942871094,0.00114542955998331
2014-07,-50.5,41.5,21.0683326721191,4,1142.5,0.000143209676025435
2014-07,-46.5,41.5,112.674026489258,8,1044.5,0.000466915662400424
2014-07,-45.5,41.5,9.27236080169678,3,966.666687011719,7.86517994129099e-05
2014-07,-51.5,40.5,184.930145263672,11,2051.0908203125,0.0012471831869334
2014-07,-46.5,40.5,68.6180572509766,1,1775,0.000280297390418127
2014-07,-39.5,40.5,39.4551391601562,6,1375,0.000453117012511939
2014-07,-39.5,39.5,50.0468063354492,4,995,0.00055801059352234
2014-08,-41.5,44.5,114.689582824707,21,730.90478515625,0.00335015263408422
2014-08,-40.5,44.5,116.051391601562,8,553.125,0.00138837425038218
2014-08,-39.5,44.5,66.6983337402344,6,556.166687011719,0.000399664713768288
2014-08,-38.5,44.5,41.7763900756836,6,803.833312988281,0.000252086028922349
2014-08,-38.5,42.5,4.72013902664185,2,487.5,2.95178579108324e-05
2014-08,-37.5,42.5,26.208610534668,4,940.75,0.000486405158881098
2014-08,-40.5,41.5,23.2975006103516,2,445,0.000269805343123153
2014-08,-42.5,38.5,5.41152763366699,1,1971,7.34237110009417e-05
2014-09,-40.5,39.5,31.4522228240967,4,1112.5,0.0004555098421406
2014-09,-47.5,38.5,64.6777801513672,3,319.333343505859,0.00107728433795273
2014-09,-40.5,38.5,139.046524047852,11,663.363647460938,0.00411847745999694
2014-09,-25.5,6.5,21.0354175567627,3,1637,0.000227881886530668
2014-09,-24.5,6.5,48.943473815918,3,1974,0.000269775744527578
2014-09,-24.5,5.5,53.7241668701172,2,2241.5,0.000297079037409276
2014-09,-25.5,4.5,291.827362060547,14,691.071411132812,0.00347915850579739
2014-09,-24.5,4.5,458.686950683594,20,283.950012207031,0.00268306862562895
2014-09,-23.5,4.5,91.1188888549805,5,234.800003051758,0.00158642511814833
2014-10,-49.5,41.5,183.774719238281,8,2020.625,0.00371830142103136
2014-10,-48.5,38.5,27.5165271759033,4,486.75,0.000540832115802914
2014-10,-23.5,2.5,165.663604736328,17,641.058837890625,0.00327892345376313
