date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-01,-4567,-6180,ARG,trawlers,5.6620833333333334,5.6620833333333334,1
2012-02-01,-4311,-6307,ARG,trawlers,4.54875,0,1
2012-02-01,-4565,-6186,ARG,trawlers,0.77499999999999991,0,1
2012-02-01,-4053,-5897,ARG,trawlers,2.5288888888888885,0,1
2012-02-01,-4564,-6181,ARG,trawlers,3.8105555555555553,0,1
2012-02-01,-4563,-6180,ARG,trawlers,0.77611111111111108,0,1
2012-02-01,-4051,-5896,ARG,trawlers,0.77597222222222229,0,1
2012-02-01,-4816,-6453,ARG,trawlers,1.6038888888888889,0,1
2012-02-01,-4815,-6452,ARG,trawlers,0.044444444444444439,0,1
2012-02-01,-4814,-6451,ARG,trawlers,0.752361111111111,0,1
2012-02-01,-4046,-5815,ARG,trawlers,0.77486111111111111,0,1
2012-02-01,-4556,-6179,ARG,trawlers,0.79708333333333337,0.79708333333333337,1
2012-02-01,-4044,-5815,ARG,trawlers,4.5962499999999995,0,1
2012-02-01,-4555,-6180,ARG,trawlers,0.768888888888889,0.768888888888889,1
2012-02-01,-4553,-6230,ARG,trawlers,0.75444444444444447,0,1
2012-02-01,-4553,-6179,ARG,trawlers,0.80694444444444435,0,1
2012-02-01,-4552,-6229,ARG,trawlers,3.8041666666666667,0,1
2012-02-01,-4040,-5888,ARG,trawlers,5.7443055555555551,0,1
2012-02-01,-4551,-6458,ARG,trawlers,5.6501388888888888,0,1
2012-02-01,-4551,-6179,ARG,trawlers,0.75277777777777777,0,1
2012-02-01,-4039,-5887,ARG,trawlers,0.79458333333333342,0,1
2012-02-01,-4294,-6047,ARG,trawlers,11.774861111111111,0,1
2012-02-01,-4293,-6188,ARG,trawlers,0.74444444444444435,0,1
2012-02-01,-4292,-6187,ARG,trawlers,4.5261111111111108,0,1
2012-02-01,-4803,-6398,ARG,trawlers,4.8938888888888892,0,1
2012-02-01,-4547,-6426,ARG,trawlers,0.78194444444444444,0,1
2012-02-01,-4546,-6424,ARG,trawlers,0.77958333333333329,0,1
