date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-01-01,-4685,-6490,ARG,trawlers,1.59625,0,1
2012-01-01,-4274,-6503,ARG,trawlers,28.69722222222223,0,2
2012-01-01,-3463,-5836,ARG,trawlers,16.527638888888884,0,1
2012-01-01,-4762,-6371,ARG,trawlers,0.80555555555555558,0,1
2012-01-01,-4768,-6343,ARG,trawlers,0.049722222222222223,0,1
2012-01-01,-3458,-5839,ARG,trawlers,17.999027777777776,0,1
2012-01-01,-4201,-5846,ARG,trawlers,0.81125,0,1
2012-01-01,-4683,-6493,ARG,trawlers,1.6056944444444443,0,1
2012-01-01,-4771,-6356,ARG,trawlers,0.034583333333333334,0,1
2012-01-01,-4770,-6358,ARG,trawlers,0.048611111111111112,0,1
2012-01-01,-4761,-6386,ARG,trawlers,8.2779166666666661,0,1
2012-01-01,-4770,-6359,ARG,trawlers,0.73333333333333328,0,1
2012-01-01,-4205,-5832,ARG,trawlers,0.080694444444444444,0,1
2012-01-01,-3458,-5838,ARG,trawlers,16.385138888888889,0,1
2012-01-01,-4766,-6357,ARG,trawlers,0.80986111111111114,0,1
2012-01-01,-4206,-5836,ARG,trawlers,0.886111111111111,0,1
2012-01-01,-4770,-6356,ARG,trawlers,1.5323611111111111,0,1
2012-01-01,-4206,-5850,ARG,trawlers,0.77208333333333323,0,1
2012-01-01,-4762,-6372,ARG,trawlers,0.8388888888888888,0,1
2012-01-01,-3890,-6211,ARG,trawlers,48.53458333333333,0,3
2012-01-01,-3805,-5754,ARG,trawlers,73.773611111111109,0,5
2012-01-01,-4696,-6503,ARG,trawlers,0.029166666666666667,0,1
2012-01-01,-4766,-6356,ARG,trawlers,0.76486111111111121,0,1
2012-01-01,-4208,-5832,ARG,trawlers,8.2808333333333337,0,1
2012-01-01,-4770,-6357,ARG,trawlers,0.051527777777777777,0,1
2012-01-01,-4204,-5825,ARG,trawlers,0.82208333333333339,0,1
2012-01-01,-4073,-6494,ARG,trawlers,15.683472222222221,0,1
