spp,id,x,y,dit,nBoats,effort,month
B,S478,-51.5,41.5,0.000792873,0,0,2
B,S478,-50.5,41.5,1.12E-06,0,0,2
B,S478,-52.5,40.5,0.000792873,8.934861183,0.007084207,2
B,S478,-51.5,40.5,1.12E-06,0,0,2
B,S478,-50.5,40.5,1.12E-06,0,0,2
B,S478,-44.5,40.5,0.000792873,0,0,2
B,S478,-50.5,39.5,0.000792873,7.725277901,0.006125162,2
B,S478,-45.5,39.5,0.000792873,24.02666664,0.019050088,2
B,S478,-44.5,39.5,1.12E-06,12.74847221,1.43E-05,2
B,S478,-51.5,38.5,0.000792873,79.50985718,0.063041194,2
B,S478,-50.5,38.5,1.12E-06,22.14634323,2.48E-05,2
B,S478,-49.5,38.5,0.000792873,48.06856537,0.038112252,2
B,S478,-47.5,38.5,0.000792873,80.83580017,0.064092498,2
B,S478,-46.5,38.5,0.000792873,74.86597443,0.059359186,2
B,S478,-46.5,37.5,0.000792873,146.9237823,0.116491854,2
B,S515,-27.5,15.5,0.000792873,55.79783249,0.044240577,2
B,S515,-26.5,15.5,1.12E-06,37.17897415,4.16E-05,2
B,S515,-25.5,15.5,0.000792873,35.03305435,0.027776752,2
B,S515,-26.5,14.5,0.000792873,29.80465317,0.023631295,2
B,S515,-27.5,13.5,0.000792873,14.27958298,0.011321891,2
B,S515,-26.5,13.5,1.12E-06,44.95532608,5.03E-05,2
B,S515,-26.5,12.5,0.000792873,19.06624985,0.015117109,2
B,S590,-119.5,34.5,0.000792873,0,0,2
B,S590,-118.5,32.5,1.12E-06,0,0,2
B,S590,-118.5,31.5,1.12E-06,0,0,2
B,S590,-119.5,30.5,1.12E-06,0,0,2
B,S590,-120.5,29.5,1.12E-06,0,0,2
B,S590,-121.5,28.5,1.12E-06,0,0,2
B,S590,-120.5,28.5,1.12E-06,0,0,2
B,S478,-58.5,40.5,0.000792873,0,0,3
B,S478,-57.5,40.5,0.000792873,0,0,3
B,S478,-53.5,40.5,1.12E-06,41.96090317,4.70E-05,3
B,S478,-52.5,40.5,0.000792873,54.30569458,0.043057502,3
B,S478,-65.5,39.5,0.000792873,0,0,3
B,S478,-61.5,39.5,0.000792873,0,0,3
B,S478,-60.5,39.5,0.000792873,0,0,3
B,S478,-59.5,39.5,0.000792873,0,0,3
B,S478,-58.5,39.5,1.12E-06,5.55506897,6.22E-06,3
B,S478,-57.5,39.5,1.12E-06,28.33514023,3.17E-05,3
B,S478,-56.5,39.5,0.000792873,0,0,3
B,S478,-55.5,39.5,0.000792873,40.44796371,0.032070086,3
B,S478,-54.5,39.5,0.000792873,150.2900085,0.119160843,3
B,S478,-53.5,39.5,1.12E-06,112.2895813,0.000125709,3
B,S478,-70.5,38.5,0.000792873,0,0,3
B,S478,-69.5,38.5,0.000792873,0,0,3
B,S478,-68.5,38.5,1.12E-06,0,0,3
B,S478,-67.5,38.5,1.12E-06,0,0,3
B,S478,-66.5,38.5,1.12E-06,0,0,3
B,S478,-65.5,38.5,1.12E-06,0,0,3
B,S515,-18.5,19.5,0.000792873,0,0,3
B,S515,-18.5,18.5,0.000792873,0,0,3
B,S515,-17.5,18.5,0.000792873,24.2836113,0.019253812,3
B,S515,-23.5,17.5,1.12E-06,71.93367767,8.05E-05,3
B,S515,-24.5,16.5,1.12E-06,17.55694389,1.97E-05,3
B,S515,-23.5,16.5,0.000792873,148.1944427,0.117499326,3
B,S515,-24.5,15.5,1.12E-06,1.981111169,2.22E-06,3
B,S590,-121.5,34.5,1.12E-06,0,0,3
B,S590,-121.5,33.5,0.000792873,0,0,3
B,S590,-120.5,33.5,1.12E-06,0,0,3
B,S590,-119.5,33.5,0.000792873,0,0,3
B,S590,-118.5,33.5,0.000792873,0,0,3
B,S590,-120.5,32.5,1.12E-06,0,0,3
B,S590,-119.5,32.5,1.12E-06,0,0,3
B,S590,-118.5,32.5,0.000792873,0,0,3
B,S478,-72.5,39.5,0.000792873,217.7119293,0.172617842,4
B,S478,-73.5,38.5,1.12E-06,19.45893478,2.18E-05,4
B,S478,-71.5,38.5,1.12E-06,0,0,4
B,S478,-74.5,37.5,1.12E-06,21.92499924,2.45E-05,4
B,S478,-73.5,37.5,1.12E-06,0,0,4
B,S478,-74.5,36.5,0.000792873,9.633333206,0.007638007,4
B,S478,-73.5,36.5,1.12E-06,10.58319473,1.18E-05,4
B,S515,-17.5,18.5,0.000792873,111.2870789,0.088236485,4
B,S515,-16.5,18.5,0.000792873,158.0677185,0.125327576,4
B,S515,-17.5,17.5,0.000792873,28.02444458,0.022219817,4
B,S590,-120.5,33.5,1.12E-06,0,0,4
B,S590,-119.5,33.5,1.12E-06,0,0,4
B,S590,-118.5,33.5,1.12E-06,0,0,4
B,S478,-73.5,39.5,1.12E-06,12.6174078,1.41E-05,5
B,S478,-74.5,38.5,0.000792873,4.161296368,0.003299378,5
B,S478,-73.5,38.5,1.12E-06,16.63138962,1.86E-05,5
B,S478,-74.5,37.5,1.12E-06,4.237291813,4.74E-06,5
B,S478,-73.5,37.5,0.000792873,0,0,5
B,S590,-119.5,34.5,1.12E-06,0,0,5
B,S590,-120.5,33.5,1.12E-06,0,0,5
B,S590,-119.5,33.5,0.000792873,0,0,5
B,S590,-118.5,33.5,1.12E-06,0,0,5
B,S478,-70.5,40.5,1.12E-06,117.2442017,0.000131255,6
B,S478,-69.5,40.5,0.000792873,45.37538147,0.035976901,6
B,S478,-73.5,39.5,0.000792873,4.507777691,0.003574094,6
