spp,id,x,y,dit,nBoats,effort
C,Dit_C_S5_02_1,-35.5,37.5,0.000765864329878241,21.8773612976074,0.0167550906496963
C,Dit_C_S5_02_1,-34.5,37.5,0.000547045958228409,32.5686569213867,0.0178165521337723
C,Dit_C_S5_02_1,-33.5,37.5,0.000437636772403494,110.524032592773,0.0483693808969199
C,Dit_C_S5_02_1,-38.5,36.5,0.000328227557474747,26.985279083252,0.00885731224127018
C,Dit_C_S5_02_1,-37.5,36.5,0.000328227557474747,26.0352077484131,0.00854547264760924
C,Dit_C_S5_02_1,-36.5,36.5,0.00109409191645682,15.2047920227051,0.0166354400434487
C,Dit_C_S5_02_1,-45.5,35.5,0.000218818386201747,144.529418945313,0.0316256942122894
C,Dit_C_S5_02_1,-44.5,35.5,0.000328227557474747,108.359191894531,0.0355664728854794
C,Dit_C_S5_02_1,-43.5,35.5,0.000109409193100873,152.147918701172,0.0166463810170725
C,Dit_C_S5_02_1,-38.5,35.5,0.000437636772403494,75.5260009765625,0.0330529552999259
C,Dit_C_S5_02_1,-37.5,35.5,0.000109409193100873,41.9283866882324,0.00458735095558091
C,Dit_C_S5_02_1,-36.5,35.5,0.000109409193100873,72.1448593139649,0.00789331084391692
C,Dit_C_S5_02_1,-45.5,34.5,0.000328227557474747,154.442504882813,0.0506922861479673
C,Dit_C_S5_02_1,-44.5,34.5,0.00120350113138556,82.4997482299805,0.0992885403338057
C,Dit_C_S5_02_1,-43.5,34.5,0.000765864329878241,77.9341659545899,0.0596869977834316
C,Dit_C_S5_02_1,-43.5,33.5,0.000109409193100873,59.9195823669434,0.00655575315770859
C,Dit_C_S5_02_1,-36.5,26.5,0.000109409193100873,3.53972220420837,0.000387278150163683
C,Dit_C_S5_02_1,-35.5,26.5,0.000218818386201747,0,0
C,Dit_C_S5_02_1,-38.5,25.5,0.000109409193100873,0,0
C,Dit_C_S5_02_1,-37.5,25.5,0.000109409193100873,0,0
C,Dit_C_S5_02_1,-36.5,25.5,0.000875273544806987,0,0
C,Dit_C_S5_02_1,-35.5,25.5,0.000765864329878241,0,0
C,Dit_C_S5_02_1,-38.5,24.5,0.000218818386201747,0,0
C,Dit_C_S5_02_1,-37.5,24.5,0.000218818386201747,0,0
C,Dit_C_S5_02_1,-36.5,24.5,0.000547045958228409,0,0
C,Dit_C_S5_03_1,-32.5,42.5,0.000437636772403494,0,0
C,Dit_C_S5_03_1,-31.5,41.5,0.000656455114949495,17.7477779388428,0.0116506196069411
C,Dit_C_S5_03_1,-34.5,40.5,0.000109409193100873,7.53499984741211,0.000824398253320563
C,Dit_C_S5_03_1,-33.5,40.5,0.000437636772403494,0,0
C,Dit_C_S5_03_1,-32.5,40.5,0.000984682701528072,0,0
C,Dit_C_S5_03_1,-31.5,40.5,0.000109409193100873,0,0
C,Dit_C_S5_03_1,-33.5,39.5,0.000109409193100873,2.85597229003906,0.000312469623771627
C,Dit_C_S5_03_1,-32.5,39.5,0.000109409193100873,0,0
C,Dit_C_S5_03_1,-31.5,39.5,0.000109409193100873,0.479027777910233,5.24100426540629e-05
C,Dit_C_S5_03_1,-36.5,38.5,0.000109409193100873,34.3013534545898,0.00375288340373453
C,Dit_C_S5_03_1,-35.5,38.5,0.000765864329878241,31.5359382629395,0.0241522502248277
C,Dit_C_S5_03_1,-34.5,38.5,0.000328227557474747,25.1267127990723,0.00824727956940896
C,Dit_C_S5_03_1,-33.5,38.5,0.000656455114949495,26.0343971252441,0.0170904131574929
C,Dit_C_S5_03_1,-32.5,38.5,0.000328227557474747,0,0
C,Dit_C_S5_03_1,-31.5,38.5,0.000109409193100873,27.1614570617676,0.00297171310057201
C,Dit_C_S5_03_1,-36.5,37.5,0.000765864329878241,61.9117584228516,0.0474160073761007
C,Dit_C_S5_03_1,-35.5,37.5,0.000656455114949495,53.551944732666,0.0351544480352513
C,Dit_C_S5_03_1,-34.5,37.5,0.000437636772403494,68.3765716552734,0.0299241021272301
