spp,id,x,y,dit,nBoats,effort
B,examples/dit_month_from_1a//01/B/Dit_B_S2_01_1,-22.5,-20.5,0.000218818386201747,174.875900268555,0.0382660622823428
B,examples/dit_month_from_1a//01/B/Dit_B_S2_01_1,-24.5,-21.5,0.000875273544806987,251.769287109375,0.220366996401751
B,examples/dit_month_from_1a//01/B/Dit_B_S2_01_1,-23.5,-21.5,0.00131291022989899,134.389617919922,0.176441504159282
B,examples/dit_month_from_1a//01/B/Dit_B_S2_01_1,-22.5,-21.5,0.000109409193100873,244.700653076172,0.0267725010043207
B,examples/dit_month_from_1a//01/B/Dit_B_S2_01_1,-24.5,-22.5,0.000328227557474747,124.776557922363,0.0409551048369636
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-39.5,-21.5,0.000218818386201747,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-38.5,-21.5,0.000328227557474747,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-40.5,-22.5,0.000218818386201747,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-39.5,-22.5,0.000656455114949495,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-38.5,-22.5,0.000328227557474747,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-42.5,-23.5,0.000328227557474747,64.853889465332,0.0212868337319432
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-41.5,-23.5,0.000765864329878241,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-40.5,-23.5,0.000218818386201747,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-39.5,-23.5,0.000218818386201747,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-41.5,-24.5,0.000109409193100873,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-39.5,-25.5,0.000109409193100873,13.8088884353638,0.00151081934133313
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-38.5,-25.5,0.000547045958228409,75.0254135131836,0.0410423492268022
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-37.5,-25.5,0.000218818386201747,22.0173606872559,0.00481780333400711
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-43.5,-26.5,0.000182348652742803,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-37.5,-26.5,0.000328227557474747,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-36.5,-26.5,0.000984682701528072,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-35.5,-26.5,0.000109409193100873,0,0
B,examples/dit_month_from_1a//01/B/Dit_B_S4_01_1,-34.5,-26.5,0.000109409193100873,0,0
