ID,CommonName,ScientificName,LENGTH_cm,SEX,TAG_TYPE,TAG_DATE,TAG_LAT,TAG_LONG,DAYS@LIBERTY,FINAL_LAT,FINAL_LONG,CAPTURE (Y/N),REGION
S15,Blue shark,Prionace glauca,174,F,PSAT,07/04/2010,-23.58,41.22,13,-26.35,42.18,,IND_SW
S16,Blue shark,Prionace glauca,256,F,PSAT,29/06/2010,-26.76,33.73,25,-28.7,33.87,,IND_SW
S17,Blue shark,Prionace glauca,185,M,PSAT,30/03/2010,-18.85,63.16,41,-22.76,60.39,,IND_SW
S18,Blue shark,Prionace glauca,233,F,PSAT,10/02/2010,-21.26,54.65,49,-21.18,57.12,,IND_SW
S19,Blue shark,Prionace glauca,238,F,PSAT,13/04/2010,-20.4,40.9,59,-24.94,36.86,,IND_SW
S20,Blue shark,Prionace glauca,250,M,SPOT,30/06/2016,40.7,-70.8,20,40.67,-70.06,,ATL_N
S21,Blue shark,Prionace glauca,266,M,SPOT,07/08/2016,41.01,-71.37,47,40.87,-70.72,,ATL_N
S22,Blue shark,Prionace glauca,240,M,SPOT,15/06/2016,40.8,-71.38,63,41.03,-70.64,,ATL_N
S23,Blue shark,Prionace glauca,262,M,SPOT,07/07/2016,40.92,-71.28,51,42.14,-67.61,,ATL_N
S24,Blue shark,Prionace glauca,312.5,M,SPOT,12/07/2016,40.92,-71.28,33,40.39,-69.41,,ATL_N
S25,Blue shark,Prionace glauca,270,M,SPOT,08/08/2016,40.99,-71.37,47,40.97,-71.48,,ATL_N
S26,Blue shark,Prionace glauca,269,M,SPOT,27/07/2016,41.12,-71.1,22,41.27,-71.36,,ATL_N
S27,Blue shark,Prionace glauca,268.5,M,SPOT,12/07/2016,40.92,-71.28,11,41.08,-71.31,,ATL_N
S28,Blue shark,Prionace glauca,254,M,SPOT,15/06/2016,40.8,-71.38,68,40.72,-71.2,,ATL_N
S29,Blue shark,Prionace glauca,240,M,SPOT,15/08/2016,41.12,-71.28,32,40.61,-71.52,,ATL_N
S30,Blue shark,Prionace glauca,239,M,SPOT,27/07/2016,41.12,-71.1,38,41.01,-70.62,,ATL_N
S31,Blue shark,Prionace glauca,254,M,SPOT,07/07/2016,40.92,-71.28,84,43.16,-57.75,,ATL_N
S32,Blue shark,Prionace glauca,281,M,SPOT,30/06/2016,40.7,-70.8,46,42.93,-67.81,,ATL_N
S33,Blue shark,Prionace glauca,265,M,SPOT,27/07/2016,41.12,-71.1,36,41.24,-71.24,,ATL_N
S34,Blue shark,Prionace glauca,288,M,SPOT,06/07/2016,40.92,-71.28,29,40.24,-70.02,,ATL_N
S35,Blue shark,Prionace glauca,220,F,PSAT,27/08/2011,33.03,-37.04,110,31.18,-35.91,,ATL_N
S36,Blue shark,Prionace glauca,220,F,PSAT,28/08/2011,32.44,-36.11,93,18.12,-25.22,,ATL_N
S37,Blue shark,Prionace glauca,120,F,SPOT,20/05/2015,37.01,-7.71,39,39,-10.41,,ATL_N
S38,Blue shark,Prionace glauca,205,M,SPOT,04/06/2014,41.28,-42.36,218,33.56,-35.96,,ATL_N
S39,Blue shark,Prionace glauca,240,M,SPOT,05/06/2014,41.42,-42.1,232,38.65,-52.05,,ATL_N
S40,Blue shark,Prionace glauca,220,F,SPOT,05/06/2014,41.4,-42.31,42,32.69,-44.3,,ATL_N
S41,Blue shark,Prionace glauca,220,F,SPOT,05/06/2014,41.39,-42.48,93,38.64,-40.92,,ATL_N
S42,Blue shark,Prionace glauca,230,F,SPOT,05/06/2014,41.38,-42.57,10,38.77,-39.06,,ATL_N
S43,Blue shark,Prionace glauca,215,F,SPOT,07/06/2014,41.23,-44.01,27,32.13,-48.36,,ATL_N
S44,Blue shark,Prionace glauca,210,M,SPOT,11/09/2015,40.29,-36.16,2,40.32,-35.8,,ATL_N
S45,Blue shark,Prionace glauca,210,F,SPOT,07/06/2014,41.22,-44.01,15,36.52,-41.12,,ATL_N
S46,Blue shark,Prionace glauca,190,F,SPOT,31/08/2015,39.29,-40.44,21,28.86,-40.61,,ATL_N
S47,Blue shark,Prionace glauca,190,F,SPOT,07/06/2014,41.44,-44.01,10,39.23,-46.46,,ATL_N
S48,Blue shark,Prionace glauca,220,F,SPOT,09/06/2014,41.57,-43.23,56,18.88,-45.54,,ATL_N
S49,Blue shark,Prionace glauca,220,F,SPOT,11/06/2014,41.53,-43.42,42,33.93,-47.63,,ATL_N
S50,Blue shark,Prionace glauca,240,F,PSAT,21/01/2017,13.35,-28.19,37,23.83,-30.63,,ATL_N
S51,Blue shark,Prionace glauca,265,M,PSAT,17/02/2017,13.71,-30.33,35,13.4,-34.84,,ATL_N
S52,Blue shark,Prionace glauca,255,F,PSAT,24/01/2017,13.4,-29.09,34,24.53,-24.43,,ATL_N
S53,Blue shark,Prionace glauca,230,M,SPOT,27/09/2015,33.57,-32.66,4,33.14,-31.59,,ATL_N
S54,Blue shark,Prionace glauca,220,F,SPOT,16/01/2017,11.02,-24.03,72,21.84,-27.12,,ATL_N
S55,Blue shark,Prionace glauca,230,M,SPOT,17/01/2017,10.32,-23.07,39,14.89,-27.65,,ATL_N
S56,Blue shark,Prionace glauca,195,F,SPOT,17/01/2017,10.34,-23.09,22,12.8,-25.75,,ATL_N
